Application ID	In Country?	App Type	Traditional Building	Case Officer	Decision Level	PO Decision	HP12 Relevant	HP12: Abandoned	HP12: Historic / Architectural Assessment Person	HP12: Stated Historic or Architectural Interest	HP12: Capable of Renovation	HP12 Passes?	HP14 Relevant	HP14A: On Footprint	HP14A: Less than 50% increase	HP14A: Exception1 (Poor form -> more traditional)	HP14A; Exception2 (less visual impact)	HP14A: Complies?	HP14B: 3/91 Compliance	HP14B: High-Quality Design with 'No Adverse Visual Impact'	HP14B: Complies?	HP14C: Reuse of Stone and Slate	HP14D: New fabric matches original building	HP14 Passes?	Application Passes 'Replacement Dwelling' Policy?	Pass Score (HP12)	Pass Score (HP14)	Pass Score for this Application	Assessment Score HP12 (2or3=pass)	Assessment Score HP14 (3=pass)	Assessment Bonus Score (max=2)	Assessment Score Overall (5/6=pass/7/8max)	Compliance Score HP12 (2or3=pass)	Compliance Score HP14 (3=pass)	Compliance Exception Modifier HP14 (3=max)	Compliance Bonus Score (max=2)	Compliance Score Overall (5/6=pass/ 7/8=max)	Compliance %	HP12 Compliance %	HP14 Compliance %	Compliance Status	Policy Balance Score	Reason for refusal: points gained	Reason for refusal: detail	Application Type	Local Authority	Date Submitted	Advertised As	Available Online	Status	LatDD	LonDD	Land Designation	Is Countryside	Plan Used	Case Officer	Signed By	Same Countersignatory	Site Visit Conducted	Recommended Permitted	Decision Level	Committee or PO Permitted	High Landscape Value (1982)	Archeological Interest (1982)	"Vernacular, Traditional, or Pre-1920 Building(s) to be Demolished"	Building Classification	Building Detailed Description	Housing Policy 12 Included	Housing Policy 13 Included	Housing Policy 14 Included	Passed HP12 (PO)	Passed HP13 (PO)	Passed HP14 (PO)	Abandoned / Lost Habitable Status (PO Assessment)	Abandoned Excerpts	Historic Assessment Level	Additional Evidence of Historic / Architectural Interest	Objector(s) on Historic / Arc Interest Grounds	Historic / Arc Interest	Architectural and Historic Interest Expcerts	Renovation Comments	Capable of Renovation	Structural Condition of Building	On Existing Footprint	Buildings included in original floor area	Original Floor Area	New Floor Area	Percent Original Floor Area	Curtilage Size	Curtilage Notes	Passes 3/91 P2-P7 Generally (Vernaculars)?	3/91 P2	3/91 P3	3/91 P4	3/91 P5	3/91 P6	3/91 P7	3/91 P8 (Larger house in own grounds)	3/91 Excerpts	Siting / Design: Less Visual Impact	Visual Impact: Language Used	Existing Deemed Poor Form	Existing Deemed Poor Condition	Exceptional: New Property is 'High-Quality' Design with No Adverse Visual Impact	Reuse of Stone and Slate	Matches original materials	Thought to Have More traditional character	Condition for Demolition	Condition to Record Site
16/01341/B	Yes	B	Yes	Senior Planning Officer 1	Committee	Yes	No	No Assessment	None	No Assessment	No Assessment	No	Yes	No	No	No	No	No	Referenced without decision	No	No	Condition Suggests Reuse	No Assessment	No	No	3	3	6	0	3	1	3	0	0	0	0	0	0.00%	0.00%	0.00%	Fail	-3	0		B	PATRICK	05-Dec-16	Erection of a replacement detached dwelling with associated ancillary living accommodation The Cronk Ballavagher Road St Johns Isle Of Man IM4 3JF	Yes	Decision Issued	54.19036918	-4.633605874	Reclamation	Yes	Isle of Man Development Plan Order 1982 	Senior Planning Officer 1	Senior Planning Officer 1	Yes	04/01/2017	Yes	Committee	Yes	Yes	No	Yes	Vernacular Farmhouse; Outbuildings	Traditional Manx farmhouse and two outbuildings (undescribed)	No	No	Yes	No Assessment	No Assessment	No	No Assessment	None	None	None	None	No Assessment	None	None	No Assessment	No Assessment	No	Existing dwelling	116	516	444.8275862	Same	None	Referenced without decision	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	"""The scheme has been designed with traditional references to the larger Manx rural house: the main two storey element will have dimensions of 15.4m by 9.6m which is larger than the traditional Manx farmhouse described in Planning Circular 3/91 (11m by 5.5m) but still displaying the appropriate proportions, window styles. Some of the detailing, such as the heavy parapet work at eaves level and the style of front porch give the impression of a larger, quarterland type farmhouse of which this is a good replication. """	No	"""little visual impact"""	No	No Assessment	No	Condition Suggests Reuse	No Assessment	No Assessment	"""The existing cottage must be demolished and all material removed from site (or re-used in the new development) within 28 days of the completion of the new dwelling."""	None
16/01211/B	Yes	B	Yes	Senior Planning Officer 2	SPO	Yes	Yes	No	Planning Officer	Yes	No Assessment	No	Yes	Yes	Yes	No	No	Yes	Yes	No	Yes	No	No	Yes	No	3	3	6	2	3	0	5	1	3	0	1	4	66.67%	33.33%	100.00%	Fail	-1	0		B	LEZAYRE	27-Oct-16	Erection of a replacement dwelling. Clenagh Veg Clenagh Road Sulby Isle Of Man IM7 3AB	Yes	Decision Issued	54.32244327	-4.491492635	Woodland	Yes	Isle of Man Development Plan Order 1982 	Senior Planning Officer 2	Senior Planning Officer 1	No	No	Yes	SPO	Yes	No	No	Yes	Vernacular Farmhouse	"two storey traditional property with a similar form as a Manx traditional farmhouse, albeit with a flat roofed single storey extension to the side gable elevation (north) and a two storey flat roofed extension to the r ear elevation (west)."	Yes	No	Yes	Yes	No Assessment	Yes	No	None	Planning Officer	None	None	Yes	"""In this case the existing dwelling has been adversely altered including single and two storey flat roofed extensions, inappropriate front porch extension, and removal of original sliding sash windows with brown uPVC casement windows, all of which impact the character of the dwelling, to such an extent which it is now considered the existing dwelling does not have much of its original architectural or historic interest. """	None	No Assessment	No Assessment	Yes	Existing dwelling	191	286	149.7382199	Same	None	Yes	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	"""The final aspect of the policy to considered is whether the design of the new building is in accordance with Policies 2-7 of the present Planning Circular 3/91. Certainly the main part of the dwellinghouse and the aspect of the dwelling which is most publically visible from the adjacent highway, does fully comply with Planning Circular 3/91 as it appears as a two storey farmhouse design with three upper windows over a central doorway flanked by a single window on each side. The proposal also in terms of proportion, form, finish and design complies with Circular 3/91."""	No	"""no adverse impact"""	No Assessment	Yes	No	No	No	No Assessment	None	None
16/01183/B	Yes	B	No	Junior Planning Officer 1	Committee	Yes	No	No Assessment	Planning Officer	No	No Assessment	No	Yes	Yes	No	Yes	No	Yes	Yes	No	Yes	No	No	Yes	No	2	3	5	1	3	0	4	1	2	1	1	4	80.00%	50.00%	100.00%	Fail	0	0		B	MICHAEL	18-Oct-16	Demolition of existing and erection of a replacement detached dwelling and garage. Hazeldene Orrisdale Kirk Michael Isle Of Man IM6 2HL 	Yes	Decision Issued	54.30259276	-4.577817038	Not designated for development	Yes	Isle of Man Development Plan Order 1982 	Junior Planning Officer 1	Junior Planning Officer 1	Yes	07/12/2016	Yes	Committee	Yes	Yes	Yes	No	Non-Vernacular Two Storey	Non-traditional two storey pitched roof	No	No	Yes	No Assessment	No Assessment	Yes	No Assessment	None	Planning Officer	None	None	No	"""The current planning application seeks approval for the demolition of the existing dwelling, which is of a non-traditional form and of no architectural merit"""	None	No Assessment	No Assessment	Yes	Existing dwelling	178.6	367.7	205.8790594	Same	None	Yes	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	"""At this stage perhaps it is relevant to consider Policies 2-7 of the present Planning
Circular 3/91. These policies relates to traditionally designed properties which take the form of Manx vernacular. From the front elevation the proposal would follow the lines of Planning
Circular 3/91 and would be symmetrical with five upper front windows over a central doorway which is flanked by single windows. All other elevations would also meet the criteria set out in Planning Circular 3/91. The proposal would be finished with a mixture of painted render and Manx stone, with a slate roof. These are all considered appropriate finishes to traditional properties in the countryside. Therefore the property in terms of its design, form, proportion and finish would comply with the policies as set out within the Circular."""	No		Yes	No	No	No	No	Yes	None	None
16/01160/B	Yes	B	No	Junior Planning Officer 4	Committee	Yes	No	No Assessment	None	No Assessment	No Assessment	No	Yes	No Assessment	No	No	No	No	No	Yes	Yes	Not Applicable	No Assessment	No	No	3	3	6	0	3	1	3	0	0	1	1	1	16.67%	0.00%	33.33%	Fail	-2	0		B	RUSHEN	11-Oct-16	Demolition of existing and erection of replacement dwelling. (In association with 15/00909) Kilravock Shore Road Bay Ny Carrickey Port St. Mary Isle Of Man IM9 5LY	Yes	Decision Issued	54.08428027	-4.725320541	Not designated for development	Yes	Isle of Man Development Plan Order 1982 	Junior Planning Officer 4	Junior Planning Officer 4	Yes	28/10/2016	Yes	Committee	Yes		No	No	Unknown	"Single-storey, pitched roof property with painted render finish and slate roof"	No	No	Yes	No Assessment	No Assessment	Yes	No Assessment	None	None	None	None	No Assessment	No Assessment	None	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	Same	None	No	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment		"""With the Inspector's views on the design of a new dwelling in this location in mind, the overall approach, which is not traditional, is acceptable in principle. The traditional rural Manx vernacular as set out in Circular 3/91, and as preferred in Housing Policy 14, reflects an agricultural origin, and accordingly such dwellings are found in rural - often isolated - locations inland. Here, however, the context is wholly different, and a design reflecting this ""tranquil coastal location"" (to use the Inspector's words) is more appropriate."""	No		No Assessment	No Assessment	Yes	Not Applicable	No Assessment	No	None	None
16/00979/B	Yes	B	Unable to determine from report	Junior Planning Officer 1	Committee	Yes	No	No Assessment	None	No Assessment	No Assessment	No	Yes	No Assessment	No	No	No	No	No Assessment	No	No	No	No Assessment	No	No	3	3	6	0	2	0	2	0	0	0	0	0	0.00%	0.00%	0.00%	Fail	-2	0		B	PATRICK	11-Jan-17	Erection of a replacement dwelling with amendments to PA13/00837/B Dwelling At Ballalonna Farm Dalby Isle Of Man IM5 3BW 	Yes	Decision Issued	54.1794865	-4.716103838	Not designated for development	Yes	Isle of Man Development Plan Order 1982 	Junior Planning Officer 1	Junior Planning Officer 1	Yes	07/09/2016	Yes	Committee	Yes	Yes	No	Unable to determine from report	Unknown	None	No	No	Yes	No Assessment	No Assessment	Yes	No Assessment	None	None	None	None	No Assessment	No Assessment	None	No Assessment	No Assessment	No Assessment	No Assessment	140	264	188.5714286	No Assessment	"The curtilage is specified as that for the 'replacement dwelling', not the 'existing dwelling'."	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment		"""Essentially here the application proposes an integrated a car port and garage space with living accommodation above which imitates the Manx vernacular and traditional design of the existing dwelling."""	No		No Assessment	No Assessment	No	No	No Assessment	No Assessment	None	None
16/00891/B	Yes	B	Unable to determine from report	Junior Planning Officer 2	Senior Planning Officer	Yes	Yes	No	None	No Assessment	No Assessment	No	Yes	Yes	Yes	No	No	Yes	Yes	No	Yes	No	No Assessment	Yes	No	3	3	6	1	3	0	4	1	3	0	1	4	66.67%	33.33%	100.00%	Fail	0	0		B	ONCHAN	08-Aug-16	Erection of a replacement dwelling with garage Lanjaghan Lodge Abbeylands Isle Of Man IM4 5EQ 	Yes	Decision Issued	54.20119896	-4.487914009	Open Space	Yes	Onchan Local Plan	Junior Planning Officer 2	Senior Planning Officer 2	No	No	Yes	Senior Planning Officer	Yes	No	No	Unable to determine from report	Unknown	one and half storey pitched roof with porch on west elevation with an attached porch on the east elevation and a lean - to conservatory on the north elevation with catslide single storey to the east. 	Yes	No	Yes	Yes	No Assessment	Yes	No	None	None	None	None	No Assessment	"In relation to HP14: ""In this instance the existing dwelling when first viewed could be considered to be of a traditional design and appearance, however the chimney stack proportion, size and position are not of a traditional style, nor are the window sizes/proportions. The lean to conservatory extension is also not of a traditional style."""	None	No Assessment	No Assessment	Yes	Existing dwelling excluding garage	180	247	137.2222222	Same	None	Yes	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment		"""Where a replacement is considered accepted the design of the new building should be in accordance with Policies 2-7 of the present Planning Circular 3/91. The proposal is traditional in design, finish, form and appearance, being a two storey extended Manx traditional design. Accordingly, from this aspect of the policy the proposal would comply."""	No		No	Yes	No	No	No Assessment	Yes	None	None
16/00886/B	Yes	B	Unable to determine from report	Senior Planning Officer 1	Committee	Yes	No	No Assessment	None	No Assessment	No Assessment	No	Yes	No Assessment	No	No	No	No	No Assessment	No	No	No	No Assessment	No	No	3	3	6	0	2	0	2	0	0	0	0	0	0.00%	0.00%	0.00%	Fail	-2	0		B	SANTON	05-Aug-16	Erection of a replacement dwelling Perk Cottage Knock Froy Road Santon Isle Of Man IM4 1JD	Yes	Decision Issued	54.13458796	-4.558886136	Not designated for development	Yes	Isle of Man Development Plan Order 1982 	Senior Planning Officer 1	Senior Planning Officer 1	Yes	No	Yes	Committee	No	Yes	No	Unable to determine from report	Unknown	Single storey dwelling	No	No	Yes	No Assessment	No Assessment	No	No Assessment	None	None	None	None	No Assessment	"""In this case, the property is not perfectly traditional although it has charm and does not sit uncomfortably on the site."""	None	No Assessment	No Assessment	No Assessment	Existing dwelling and porch	91.5	294	321.3114754	160%	"""An extension of the residential curtilage is also proposed to enable the new house to be constructed but will also enable vehicular manoeuvring within the site. The extension will add around 12m to the south east of the existing boundary - adding around 60% more to the curtilage."""	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment		"Reason for refusal by committee R2: ""The proposed new dwelling, by virtue of its height, size and mass, would have a significant and significantly greater impact than the existing cottage, on the character and appearance of the surrounding area which is identified as being of High Landscape Value and Scenic Significance, contrary to the provisions and objectives of Housing Policy 14. The new dwelling would be more prominent and of significantly greater proportions than is advocated in Planning Circular 3/91. Whilst the policy allows for replacement dwellings of a size greater than 50% larger than the existing, this is where the existing property is of poor form, which this is not, or where there are exceptional circumstances and it is not considered that in this case, that there are."""	No		No	No	No	No	No Assessment	No Assessment	"""The existing dwelling shall be demolished and all materials removed by no later than one month of occupation of the new dwelling, or the date of its completion certificate, whichever is the sooner."""	None
16/00780/B	Yes	B	Yes	Junior Planning Officer 4	Committee	Yes	No	No	None	No Assessment	No Assessment	No	Yes	No Assessment	No	No	No	No	No Assessment	No	No	No	No Assessment	No	No	3	3	6	1	2	0	3	1	0	0	0	1	16.67%	33.33%	0.00%	Fail	-2	0		B	ARBORY	19-Jul-16	Erection of a replacement dwelling Tighnabruaich Pooilvaaish Road Castletown Isle Of Man IM9 4PJ	Yes	Decision Issued	54.07948655	-4.685735764	Not designated for development	Yes	Southern Area Plan	Junior Planning Officer 4	Junior Planning Officer 4	Yes	06/01/2016	Yes	Committee	Yes	No	No	Yes	Vernacular Dwelling	Traditional Manx vernacular	No	No	Yes	No Assessment	No Assessment	Yes	No	""" is unclear when the property was last lived in, though it certainly does not appear to have been abandoned. """	None	None	None	No Assessment	No Assessment	None	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	None	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment		"In proposal section: ""The proposed dwelling would
have at its front an elevation to match the form and proportions of a dwelling described in Planning Circular 3/91 as being of archetypal rural Manx vernacular."""	No		No	No	No	No	No Assessment	No Assessment	None	None
16/00763/B	Yes	B	Yes	Senior Planning Officer 2	Senior Planning Officer	Yes	No	No	Planning Officer	Yes	No Assessment	No	Yes	Partial	Yes	No	No	Yes	No	No	No	No Assessment	No Assessment	No	No	3	3	6	2	3	0	5	1	2	0	0	3	50.00%	33.33%	66.67%	Fail	-2	0		B	GARFF	14-Jul-16	Erection of a replacement dwelling (amendment to PA 15/00458/B) Baldromma Christian Ballamenagh Road Baldrine Isle Of Man IM4 6AG	Yes	Decision Issued	54.18318994	-4.422637273	Not designated for development	Yes	Isle of Man Development Plan Order 1982 	Senior Planning Officer 2	Senior Planning Officer 1	No	No	Yes	Senior Planning Officer	Yes	Yes	No	Yes	Unknown	Large traditional dwelling	No	No	Yes	Yes	No Assessment	Yes	No	"""The proposal satisfies the first part of Housing Policy 12 in that the existing dwelling is still in residential use and has not been abandoned. """	Planning Officer	None	None	Yes	"""In terms of the second arm of the policy, the orginal dwelling is considered to have architectural and historic interest. The original dwelling is of an attractive and traditional design. It has been somewhat compromised by the later single storey extension which is not particularly sympathetic and the original timber vertically sliding sash windows have been replaced with UPVC top hung sash windows. Notwithstanding, it still remains an attractive building. "" ""6.5 Having regard to the earlier approvals which would have substantially altered the character and appearance of the existing dwelling, the fact that the original dwelling has been somewhat altered and in some cases unsympathetically so, and that the dwelling makes a limited contribution to the countryside being set back some distance and screened from the highway, it is considered that it would be difficult to make a case for the retention of the dwelling on grounds of its architectural and historic interest. It is therefore felt that it is acceptable in principle to replace the existing dwelling."""	None	No Assessment	No Assessment	Partial	Existing dwelling	895	878	98.10055866	No Assessment	No mention in assessment.	No	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment		"""The new dwelling is of a traditional period design, and arguably it is a shame that the applicant has not proposed a modern design for the 21st century rather than look to the past. Neither does the proposal accord with Circular 3/91 which advocates more traditionally design dwellings. It is considered that the execution of the design could be better, for example, the ratio of walling to fenestration is not generously proportioned and stone quoins are not appropriate."""	No		No	No	No	No Assessment	No Assessment	No	None	None
16/00639/A	Yes	A	Unable to determine from report	Junior Planning Officer 5	Senior Planning Officer	Yes	Yes	No Assessment	None	No Assessment	No Assessment	No	Yes	No Assessment	No	No	No Assessment	No	No Assessment	No Assessment	No	No Assessment	No Assessment	No	No	3	0	3	0	2	0	0	0	N/A	0	0	0	0.00%	0.00%	N/A	Fail	0	0		A	LEZAYRE	13-Jun-16	Approval in principle for the erection of a replacement dwelling Croit Aust Andreas Road Aust Ramsey Isle Of Man IM7 4EF	Yes	Decision Issued	54.34210077	-4.40681314	Woodland	Yes	Isle of Man Development Plan Order 1982 	Junior Planning Officer 5	Senior Planning Officer 1	No	27/06/2016	Yes	Senior Planning Officer	Yes	No	No	Unable to determine from report	Unknown	Single storey with attached porch and conservatory	Yes	No	Yes	Yes	No Assessment	No Assessment	No Assessment	None	None	None	None	No Assessment	No Assessment	None	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	None	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment		None	No Assessment		No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	None	None
16/00597/B	Yes	B	Yes	Senior Planning Officer 1	Committee	Yes	No	No Assessment	None	No Assessment	No Assessment	No	Yes	No Assessment	Yes	No	No	No	No Assessment	No	No	No Assessment	No Assessment	No	No	3	3	6	0	2	0	2	0	1	0	0	1	16.67%	0.00%	33.33%	Fail	-1	0		B	MALEW	02-Aug-16	Erection of a replacement dwelling with attached garage Ballaquayle St Marks Road St Marks Ballasalla Isle Of Man IM9 3AF	Yes	Decision Issued	54.1142072	-4.62123474	Open Space	Yes	Isle of Man Development Plan Order 1982 	Senior Planning Officer 1	Senior Planning Officer 1	Yes	06/07/2016	Yes	Committee	Yes	No	No	Yes	Unknown	"A property that ""appears to have traditional properties"", and includes a stone barn that has been incorporated as an extension."	No	No	Yes	No Assessment	No Assessment	No Assessment	No Assessment	None	None	None	None	No Assessment	No Assessment	None	No Assessment	No Assessment	No Assessment	"Existing dwelling and stone barn, new excluding subterranean"	644	912	141.6149068	Unknown Increase	"""The dwelling sits within a managed residential curtilage of around 1.8 acres (0.7 ha) around which is other land owned by the applicant. the area edged red on the application drawing is a little larger than that, taking in the adjacent agricultural buildings and vehicular parking and manoeuvring space."""	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment		"""The design of the new house is very much in the style of a large house in its own grounds, as advocated by Planning Circular 3/91 policy 8 and not dissimilar to the architectural style of Farmhill Manor and Ballacosnahan on the Island but without the rounded bays."""	No		Yes	No Assessment	No	No Assessment	No Assessment	No Assessment	None	None
16/00596/B	Yes	B	Yes	Senior Planning Officer 2	Committee	Yes	Yes	No Assessment	None	No Assessment	No Assessment	No	Yes	No Assessment	Yes	No	Yes	Yes	No Assessment	No	No	No	No Assessment	No	No	3	3	6	0	2	0	2	0	1	1	0	2	33.33%	0.00%	66.67%	Fail	0	0		B	LEZAYRE	23-Jan-17	"Erection of a replacement dwelling with detached garage, and alteration to the residential curtilage Crossags Farmhouse Crossags Lane Ramsey Isle Of Man IM8 2TB"	Yes	Decision Issued	54.31527601	-4.396816621	Not designated for development	Yes	Isle of Man Development Plan Order 1982 	Senior Planning Officer 2	Junior Planning Officer 4	No	15/06/2017	Yes	Committee	Yes	No	No	Yes	Vernacular Farmhouse	Two storey detached property	Yes	No	Yes	No Assessment	No Assessment	Yes	No Assessment	None	None	None	None	No Assessment	"The existing dwelling has been unfortunately extended and altered so while its form still has similarities to a Manx traditional farmhouse design, the two storey protecting gable extension, alterations to the traditional window fenestration and installatio n of a single storey flat roofed porch to the front elevation have all resulted in a 'mis match' of styles. 6.5 The proposed dwelling from the front (north east) and side (southeast) elevations and most publically visible elevations would reintroduce a traditional design, form, proportion and finishes. However, the rear (north west) and side (south west) elevation have a traditional built form but finishes and window designs are very contemporary in design. "	None	No Assessment	No Assessment	No Assessment	Existing dwelling	210.9	310	146.9890944	Unknown Increase	"""The proposal also includes the extension of the existing residential curtilage, by straightening the northwest boundary of the site. The two corners of this boundary would not be move just the section between would be straightened. It is not considered this would have a significant visual impact upon the countryside, and would likely remove a triangular section of land which is not idea for agricultural purposes due to its shape and size."""	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment		"""6.4 The existing dwelling has been unfortunately extended and altered so while its form still has similarities to a Manx traditional farmhouse design, the two storey protecting gable extension, alterations to the traditional window fenestration and installation of a single storey flat roofed porch to the front elevation have all resulted in a 'mis match' of styles.
6.5 The proposed dwelling from the front (north east) and side (southeast) elevations and most publically visible elevations would reintroduce a traditional design, form, proportion and finishes. However, the rear (north west) and side (south west) elevation have a traditional built form but finishes and window designs are very contemporary in design."""	Yes		No Assessment	No Assessment	No	No	No Assessment	Yes	None	None
16/00574/A	Yes	A	Yes	Senior Planning Officer 2	SPO	Yes	Yes	No Assessment	None	No Assessment	No Assessment	No	Yes	N/A	No	No	No Assessment	No	No Assessment	No	No	No Assessment	No Assessment	No	No	3	0	3	0	2	0	0	0	N/A	0	0	0	0.00%	0.00%	N/A	Fail	0	0		A	LEZAYRE	27-May-16	Approval in principle for the erection of a replacement dwelling Claddagh Mill House Sulby Bridge Sulby Isle Of Man IM7 2EZ	Yes	Decision Issued	54.32288955	-4.46766188	Not designated for development	Yes	Isle of Man Development Plan Order 1982 	Senior Planning Officer 2	Senior Planning Officer 1	No	23/06/2016	Yes	SPO	Yes	Yes	No	Yes	Vernacular Farmhouse	Two storey traditional Manx farmhouse property 	Yes	No	Yes	Yes	No Assessment	Yes	No Assessment	None	None	None	None	No Assessment	No Assessment	None	No Assessment	No Assessment	N/A	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	None	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment		None	No Assessment		No	No Assessment	No	No Assessment	No Assessment	No Assessment	None	None
16/00561/REM	Yes	REM	Yes	Senior Planning Officer 1	Committee	Yes	No	No Assessment	None	No Assessment	No Assessment	No	Yes	Yes	No	No	Yes	Yes	No Assessment	No	No	No Assessment	No Assessment	No	No	0	3	3	0	2	0	2	N/A	1	1	0	2	66.67%	N/A	66.67%	Fail	0	0		REM	ONCHAN	26-May-16	Reserved Matters application for the demolition of existing farmhouse and outbuildings and erection of a replacement detached dwelling with associated garaging and landscaping Lanjaghan Farm Lanjaghan Road Abbeylands Isle Of Man IM4 5EQ 	Yes	Decision Issued	54.20398766	-4.482136271	Not designated for development	Yes	Onchan Local Plan	Senior Planning Officer 1	Senior Planning Officer 1	Yes	No	Yes	Committee	Yes	Yes	No	Yes	Arts and Crafts	"""The house is not in the Manx vernacular but has more of an Arts and Crafts feel with half hipped steeply pitched roofs and corresponding dormers and asymmetrically arranged chimneys and a single storey annex to the west."""	No	No	Yes	No Assessment	No Assessment	Yes	No Assessment	None	None	None	None	No Assessment	No Assessment	None	No Assessment	No Assessment	Yes	"Proposed here includes integral garage, while SC excludes it"	384	661	172.1354167	No Assessment	None	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment		"""The proposed dwelling would have less impact than the existing due to the reduced length of frontage and what is proposed is a consistent elevation with traditional proportions and details, as described in the Planning Circular 3/91 - Residential Development in the Countryside.
6.2 Whilst HP 14 refers to policies 2-7 which deal with more modest traditional farmhouses, what exists cannot be described as modest and a dwelling which followed these guidelines would be significantly smaller than what exists which is not what the policy intends to achieve. In this case, what is proposed is considered to be an appropriate and well-designed dwelling which will sit comfortably in its woodland setting, with minimal impact on existing trees and the landscape. The trees form a significant backdrop to the existing house, largely hiding it from public view and provided that the new house were not painted bright white, the new house need not have any greater impact. That said, there would be nothing preventing the existing house from being so painted and thus having a much greater impact than it does."""	Yes		No Assessment	No Assessment	No	No Assessment	No Assessment	No Assessment	None	None
16/00556/B	Yes	B	No	Junior Planning Officer 4	Committee	Yes	No	No Assessment	None	No Assessment	No Assessment	No	Yes	No	No	Yes	Yes	Yes	No Assessment	Yes	Yes	No Assessment	No Assessment	Yes	No	3	3	6	0	2	0	2	0	0	3	1	3	50.00%	0.00%	100.00%	Fail	1	0		B	GERMAN	04-Jul-16	Erection of a detached dwelling and demolition of an existing bungalow Bungalow At Vaaish Mooar Staarvey Road Peel Isle Of Man 	Yes	Decision Issued	54.22411053	-4.628279539	Not designated for development	Yes	Isle of Man Development Plan Order 1982 	Junior Planning Officer 4	Junior Planning Officer 4	Yes	06/04/2016	Yes	Committee	Yes	Yes	No	No	Bungalow	"is one of many bungalows of similar, elongated form and mass that were erect ed across the Island by the Local Government Board some decades ago. "	No	No	Yes	No Assessment	No Assessment	Yes	No Assessment	None	None	None	None	No Assessment	No Assessment	None	No Assessment	No Assessment	No	No Assessment	No Assessment	No Assessment	No Assessment	Unknown Increase	"""The additional plan showing the proposed curtilage is helpful. It is larger than the existing curtilage but by no means unreasonably so. The land into which the new curtilage would encroach is of no particular value and nor is it visible from public positions: it also does not appear to be in active (agricultural) use."""	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment		"""Its design is of essentially archetypal Manx vernacular, with the occasional difference as highlighted above. Neither of these is considered to be a significant difference, and moreover it is only part of the garage that is likely to be seen from the highway in any case."""	Yes		Yes	Yes	Yes	No Assessment	No Assessment	Yes	None	None
16/00469/A	Yes	A	Yes	Senior Planning Officer 2	SPO	Yes	Yes	No Assessment	None	No Assessment	No Assessment	No	Yes	No Assessment	No	No	No Assessment	No	No Assessment	No	No	No Assessment	No Assessment	No	No	3	0	3	0	2	0	0	0	N/A	0	0	0	0.00%	0.00%	N/A	Fail	0	0		A	MAUGHOLD	17-May-16	Approval in principle for the erection of a replacement dwelling and detached garage addressing means of access Upper Rhenab Rhenab Road Cornaa Ramsey Isle Of Man IM7 1EL 	Yes	Decision Issued	54.27289216	-4.35986522	Not designated for development	Yes	Isle of Man Development Plan Order 1982 	Senior Planning Officer 2	Senior Planning Officer 1	No	24/05/2016	Yes	SPO	Yes	Yes	No	Yes	Vernacular Farmhouse; Vernacular Stone Barn	"Within the site there comprises a two storey traditional Manx farmhouse property, with a single storey extension to the rear. Attached to this dwelling is a traditional two storey Manx stone barn."	Yes	No	Yes	Yes	No Assessment	Yes	No Assessment	None	None	None	None	No Assessment	No Assessment	None	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	None	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment		None	No Assessment		No Assessment	No Assessment	No	No Assessment	No Assessment	No Assessment	None	None
