study_id	included	LatDD	LonDD	elevation	citation_title	site_name	island_name	archipelago	ocean	sample_parent_material	earliest_extent_ybp	latest_is_present_day	latest_extent_ybp	timeline_length	radiocarbon_calibrated	n_samples	proxy_groups	drivers_of_change_proxies	data_online_repository_uri
6157598	included	-52.56472397	169.1152802	115	Climate, fire, farming and the recent vegetation history of subantarctic Campbell Island	Fenceline transect (S-115 X9906)	Campbell Island	Campbell Islands	Sub-Antarctic	peatland	439	TRUE	0	439	no	12	pollen;spores	Macrocharcoal	none
6171839	included	70.96669769	-8.680600166	16	Five Short Pollen Diagrams of Soils from Jan Mayen Norway a Testimony of a Dynamic Landscape	Hollendarhaugen	Jan Mayen	Jan Mayen	Arctic	peatland	480	FALSE	-33	513	yes	31	pollen;spores	none	none
6157189	included	64.85194397	-21.39638901	32	The timing and causes of the final pre-settlement expansion of Betula pubescens in Iceland	RHD1	Iceland	Iceland	Atlantic	peatland	unknown	FALSE	unknown		unknown	32	pollen	none	none
6157598	included	-52.56472397	169.1152802	420	Climate, fire, farming and the recent vegetation history of subantarctic Campbell Island	Mt Fitzeau saddle (T-420 X99/12 )	Campbell Island	Campbell Islands	Sub-Antarctic	peatland	486	TRUE	0	486	no	9	pollen;spores	none	none
6170135	included	-35.47177505	174.7354584	23	Looking Back for the Future: Local Knowledgeand Palaeoecology Inform Biocultural Restoration of Coastal Ecosystems in New Zealand	Tawhiti Rahi	Tawhiti Rahi	New Zealand	Pacific	soil	unknown	TRUE	0		unknown	23	pollen	none	none
6156741	included	63.66281509	-19.90523338	85	1000 years of environmental change and human impact at Stóra-Mörk, southern Iceland: A multiproxy study of a dynamic and vulnerable landscape 	peat bog in a hayfield (Stóra-Mörk)	Iceland	Iceland	Atlantic	soil	unknown	FALSE	unknown		unknown	51	pollen;macrofossils	LOI;Magnestic Susceptibility;geochemical 	none
6157189	included	63.86360931	-19.98722267	85	The timing and causes of the final pre-settlement expansion of Betula pubescens in Iceland	SM1	Iceland	Iceland	Atlantic	peatland	unknown	FALSE	unknown		unknown	30	pollen	none	none
6157598	included	-52.56472397	169.1152802	195	Climate, fire, farming and the recent vegetation history of subantarctic Campbell Island	Fenceline transect  (S-195 X9908)	Campbell Island	Campbell Islands	Sub-Antarctic	peatland	510	TRUE	0	510	no	6	pollen;spores	none	none
6170345	excluded	-45.33000183	167.8000031	290	Rapid deforestation of South Island, New Zealand, by early polynesian fires	Te Aroha	North Island	New Zealand	Pacific	lake	510	TRUE	0	510	no	0		charcoal;magnetic susceptibility;organics;carbonates	No proxy
6170345	included	-44.65999985	169.0500031	280	Rapid deforestation of South Island, New Zealand, by early polynesian fires	Glendhu Lagoon	North Island	New Zealand	Pacific	lake	540	TRUE	0	540	no	0	nd	charcoal;mag sus;organics and carbonates	none
6157793	included	-17.68110847	-149.4172058	460	ENVIRONMENTAL HISTORY OF THE LAKE VAIHIRIA DRAINAGE-BASIN, TAHITI, FRENCH-POLYNESIA	Vaihiria	Tahiti	French Polynesia	Pacific	lake	540	TRUE	0	540	no	25	pollen	none	none
6170135	included	-35.0000267	173.7804413	0	Looking Back for the Future: Local Knowledgeand Palaeoecology Inform Biocultural Restoration of Coastal Ecosystems in New Zealand	Tauranga Bay	North Island	New Zealand	Pacific	soil	unknown	TRUE	0		unknown	28	pollen	none	none
6157598	included	-52.56472397	169.1152802	30	Climate, fire, farming and the recent vegetation history of subantarctic Campbell Island	Homestead Scarp (S-30 X9911)	Campbell Island	Campbell Islands	Sub-Antarctic	peatland	574	TRUE	0	574	no	15	pollen;spores	none	none
6156777	included	-8.888889313	-140.159729	736	New pollen, sedimentary, and radiocarbon records from the Marquesas Islands, East Polynesia: Implications for archaeological and palaeoclimate studies	Tōvi’i Marsh	Nuku Hiva	Marquesas Islands	Pacific	marsh	608	TRUE	0	608	no	25	pollen;spores	charcoal	none
6157256	included	-50.49885178	166.2839661	0	Palaeoecological signatures of vegetation change induced by herbivory regime shifts on subantarctic Enderby Island	Sandy Bay	Enderby Island	New Zealand	Pacific	peatland	650	TRUE	0	650	no	50	pollen;spores	coprophilous fungi	none
6171838	included	79.71520233	10.75574684	0	Human Influence on Natural Arctic Vegetation in the 17th Century and Climatic Change since A.D. 1600 in Northwest Spitsbergen: A Paleobotanical Study	Smeerenburg	Spitsbergen	Svalbard	Arctic	peatland	650	TRUE	0	650	yes	19	pollen;spores	none	none
6171838	included	79.74007416	10.80630016	70	Human Influence on Natural Arctic Vegetation in the 17th Century and Climatic Change since A.D. 1600 in Northwest Spitsbergen: A Paleobotanical Study	Søre Salatberget	Amsterdam	Svalbard	Arctic	peatland	653	FALSE	-30	683	yes	35	pollen;spores	none	none
6156686	included	-38.94359589	177.0119324	384	Corroded pollen and spores as indicators of changing lake sediment sources and catchment disturbance	Rotongaio	North Island	New Zealand	Pacific	lake	665	TRUE	0	665	no	23	pollen	charcoal;pollen summary	none
6157734	included	-0.895250022	-89.47997284	659	Galapagos History, Restoration, and a Shifted Baseline	El Junco	San Cristobal	Galapagos	Pacific	lake	unknown	FALSE	unknown		unknown	113	pollen	none	none
6156762	included	37.8722229	-25.77388954	400	Vegetation and landscape dynamics under natural and anthropogenic forcing on the Azores Islands: A 700-year pollen record from the Sao Miguel Island	Azul	São Miguel	Azores	Atlantic	lake	690	TRUE	0	690	no	57	pollen;npp	charcoal	none
6171839	included	70.91916656	-8.733333588	97	Five Short Pollen Diagrams of Soils from Jan Mayen Norway a Testimony of a Dynamic Landscape	Borgsletta	Jan Mayen	Jan Mayen	Arctic	peatland	692	FALSE	-33	725	yes	22	pollen;spores	none	none
6157194	included	-36.59344864	175.7590637	17	Early tropical crop production in marginal subtropical and temperate Polynesia	Tamewhera	Ahuahu	New Zealand	Pacific	peatland	698	FALSE	unknown		no	42	pollen;palymorphs	invertebrates;pollen summaries	none
6157694	included	-0.895205975	-89.47992706	679	Impacts of climate variability and human colonization on the vegetation of the Gala ́pagos Islands	El Junco Crater Lake	San Cristobal	Galapagos	Pacific	lake	unknown	TRUE	0		unknown	113	pollen	none	none
6170345	excluded	-45.0359993	168.576004	563	Rapid deforestation of South Island, New Zealand, by early polynesian fires	Kirkpatrick	South Island	New Zealand	Pacific	lake	705	TRUE	0	705	no	0		charcoal;magnetic susceptibility;organics;carbonates	No proxy
6157946	included	18.41666603	-64.6166687	0	Climate and human influence on late Holocene fire regimes in the British Virgin Islands	Belmont Pond	Tortola Island	Virgin Islands	Atlantic	lagoon	720	TRUE	0	720	no	13	pollen	charcoal	none
6157603	included	-43.48580551	172.6871185	20	Two new Holocene vegetation records from the margins of the Canterbury Plains, South Island, New Zealand	Travis Swamp	South Island	New Zealand	Pacific	swamp	722	TRUE	0	722	no	14	pollen	none	none
6156638	included	63.43338776	-19.15973854	48	Vegetational response to human colonisation of the coastal and volcanic environments of Ketilsstadir, southern Iceland	Ket2	Iceland	Iceland	Atlantic	peatland	unknown	FALSE	unknown		unknown	110	pollen	none	none
6157564	included	-22.64307213	-152.8128815	3	Detecting the initial impact of humans and introduced species on island environments in Remote Oceania using palaeoecology	Maunutu Swamp	Rimatara	French Polynesia	Pacific	swamp	734	TRUE	0	734	no	30	pollen	charcoal	none
6156631	included	6.900000095	158.2333374	161	Managed agroforests, swiddening, and the introduction of pigsin Pohnpei, Micronesia: Phytolith evidence from an anthropogenic landscape	Site PoC3-11, Test Pit 1	Pohnpei	Caroline islands	Pacific	archeological site	750	TRUE	0	750	no	10	phytoliths	none	none
6156631	included	6.900000095	158.2333374	161	Managed agroforests, swiddening, and the introduction of pigsin Pohnpei, Micronesia: Phytolith evidence from an anthropogenic landscape	Site PoC3-9, Feature 2, Test Pit 1	Pohnpei	Caroline islands	Pacific	archeological site	750	TRUE	0	750	no	9	phytoliths	none	none
6156638	included	63.43335724	-19.16630745	44	Vegetational response to human colonisation of the coastal and volcanic environments of Ketilsstadir, southern Iceland	Ket1	Iceland	Iceland	Atlantic	peatland	unknown	FALSE	unknown		unknown	100	pollen	none	none
6169954	included	-40.09143448	176.0492096	600	Late quaternary palynology of the southern Ruahine Range North Island, New Zealand	West Tamaki River, Ruahine Range	North Island	New Zealand	Pacific	soil	770	TRUE	0	770	no	12	pollen	sedimentology	none
6156683	included	64.18694305	-21.63249969	76	Cereal cultivation as a correlate of high social status in medieval Iceland	Hrísbrú (HRI1)	Iceland	Iceland	Atlantic	peatland	unknown	FALSE	unknown		unknown	31	pollen	LOI;organic mater;geochemestry;microcharcoal;coprophilous  fungi	none
6156683	included	64.20388794	-21.56194496	114	Cereal cultivation as a correlate of high social status in medieval Iceland	Skeggjastaðir (SKE)	Iceland	Iceland	Atlantic	peatland	unknown	FALSE	unknown		unknown	16	pollen	LOI;organic mater;geochemestry;microcharcoal;coprophilous  fungi	none
6157598	included	-52.56472397	169.1152802	50	Climate, fire, farming and the recent vegetation history of subantarctic Campbell Island	Homestead Bog (B-50 X9901)	Campbell Island	Campbell Islands	Sub-Antarctic	peatland	797	TRUE	0	797	no	15	pollen;spores	none	none
6158435	included	-44.41280365	169.8792572	600	Dryland Holocene vegetation history, Central Otago and the Mackenzie Basin, South Island, New Zealand	Ben Dhu	South Island	New Zealand	Pacific	peatland	800	TRUE	0	800	no	7	pollen	charcoal	none
6156683	included	64.16722107	-21.58805466	95	Cereal cultivation as a correlate of high social status in medieval Iceland	Helgadalur (HEL)	Iceland	Iceland	Atlantic	peatland	unknown	FALSE	unknown		unknown	16	pollen	LOI;organic mater;geochemestry;microcharcoal;coprophilous  fungi	none
6170345	included	-44.65000153	168.9600067	380	Rapid deforestation of South Island, New Zealand, by early polynesian fires	Diamond	North Island	New Zealand	Pacific	lake	820	TRUE	0	820	no	17	pollen	charcoal;magnetic susceptibility;organics;carbonates	none
6157598	included	-52.56472397	169.1152802	120	Climate, fire, farming and the recent vegetation history of subantarctic Campbell Island	Mt Honey Saddle (B-120 X9903)	Campbell Island	Campbell Islands	Sub-Antarctic	peatland	839	TRUE	0	839	no	19	pollen;spores	none	none
6156683	included	64.18055725	-21.69305611	5	Cereal cultivation as a correlate of high social status in medieval Iceland	Leirvogstunga (LEI)	Iceland	Iceland	Atlantic	peatland	unknown	FALSE	unknown		unknown	17	pollen	LOI;organic mater;geochemestry;microcharcoal;coprophilous  fungi	none
6156683	included	64.19499969	-21.63638878	282	Cereal cultivation as a correlate of high social status in medieval Iceland	Mosfell (MOS)	Iceland	Iceland	Atlantic	peatland	unknown	FALSE	unknown		unknown	25	pollen	LOI;organic mater;geochemestry;microcharcoal;coprophilous  fungi	none
6157500	included	64.18694305	-21.63249969	79	A Bayesian approach to linking archaeological, paleoenvironmental and documentary datasets relating to the settlement of Iceland (Landnam)	Hrísbrú,  monoliths (HRI1) also Mosfell (MOS)	Iceland	Iceland	Atlantic	archeological site	unknown	TRUE	0		unknown	31	pollen	tephrochronology;charcoal	none
6157534	included	-43.85860825	-176.4126587	8	The timing and importance of arboriculture and agroforestry in a temperate East Polynesia Society, the Moriori, Rekohu (Chatham Island)	Central core	Chatham Island	New Zealand	Pacific	peatland	890	TRUE	0	890	no	34	pollen	none	none
6156893	included	-36.80818558	174.7508545	39	A multi-proxy record of changing environments from ca. 30 000 to 9000 cal. a BP: Onepoto maar palaeolake, Auckland, New Zealand	Onepoto maar palaeolake (Core On2)	North Island	New Zealand	Pacific	lake	29435	FALSE	9523	19912	no	108	pollen;spores	TOC;TN	none
6171197	included	66.06666565	-20.38333321	47	Dynamic sea-level change during the last deglaciation of northern Iceland	Torfadalsvatn	Iceland	Iceland	Atlantic	lake	10550	FALSE	9180	1370	no	42	pollen summary	none	none
6157530	included	-44.95999908	168.4900055	825	A High-Resolution Chronology of Rapid Forest Transitions following Polynesian Arrival in New Zealand	Dukes Tarn	South Island	New Zealand	Pacific	lake	905	TRUE	0	905	no	35	pollen	charcoal	none
6158985	included	-39.05450058	175.7142944	540	Late Quaternary evolution of the Rotoaira Basin, northern Tongariro ring plain, New Zealand	Rotoaira	North Island	New Zealand	Pacific	lake	959	TRUE	0	959	no	50	pollen	tephra;Lithostratigraphy	none
6156625	included	-42.93733215	171.2154999	690	Changes in New Zealand forest plant communities following the prehistoric extinction of avian megaherbivores	Frosty Creek (Landcare Research core number X03/7)	South Island	New Zealand	Pacific	soil	960	FALSE	unknown		no	24	pollen;spores	none	none
6171197	included	66.09999847	-20.13333321	13	Dynamic sea-level change during the last deglaciation of northern Iceland	Nedstavatn	Iceland	Iceland	Atlantic	lake	9000	FALSE	9000	0	no	31	pollen summary	none	none
6168850	included	-27.14999962	-109.4333344	11	Late Quaternary pollen records from Easter Island	Rano Kao	Rapa Nui	Rapa Nui	Pacific	lake	990	TRUE	0	990	no	17	pollen	none	none
6157475	included	66.06666565	-20.39999962	47	Biostratigraphic evidence of the Allerod-Younger Dryas-Preboreal oscillation in northern Iceland	Torfadalsvatn	Iceland	Iceland	Atlantic	lake	9530	FALSE	9000	530	no	29	pollen;spores	SIRM (tephra);carbon content	none
6156627	included	-36.77999878	174.7661133	3	Two-step human-environmental impact history for northern New Zealand linked to late-Holocene climate change	Pupuke	North Island	New Zealand	Pacific	lake	unknown	FALSE	unknown		unknown	23	pollen	none	none
6171197	included	66.08333588	-20.13333321	22	Dynamic sea-level change during the last deglaciation of northern Iceland	Kollushtursvatn	Iceland	Iceland	Atlantic	lake	9900	FALSE	9000	900	no	28	pollen summary	none	none
6157762	included	-0.643888891	-90.32694244	809	When is an invasive not an invasive? Macrofossil evidence of doubtful native plant species in the Galapagos Islands	Psidium Bog	Santa Cruz	Galapagos	Pacific	peatland	1010	TRUE	0	1010	no	6	macrofossils	none	none
6168998	included	-37.58006287	176.0527191	7	Impact of tephra fall and environmental change: a 1000 year record from Matakana Island,Bay of Plenty, North Island, New Zealand	Site MI-1	Matakana Island	New Zealand	Pacific	peatland	1010	TRUE	0	1010	no	38	pollen	tephra	none
6157922	included	-1.321111083	120.0766678	960	Unravelling the past 1,000 years of history of human-climate-landscape interactions at the Lindu plain, Sulawesi, Indonesia	Lindu	Sulawesi	Indonesia	Indo-Pacific	lake	unknown	FALSE	unknown		unknown	21	pollen	charcoal;diatoms	none
6159398	included	65.61301422	-17.16436577	233	Palaeoenvironmental evidence for woodland conservation in Northern Iceland from settlement to the twentieth century	farm site at Hofstaðir	Iceland	Iceland	Atlantic	peatland	1057	TRUE	0	1057	no	32	pollen	LOI;tephra	none
6157576	included	-27.1826458	109.4354401	110	A Continuous Palynological Record of Forest Clearing at Rano Kao (Easter Island, SE Pacific) During the Last Millennium: Preliminary Report	Kao (KAO08-03)	Rapa Nui	Rapa Nui	Pacific	swamp	1060	TRUE	0	1060	no	22	pollen	charcoal	none
6157584	included	65.58777618	-20.13277817	114	Landnám, Land Use and Landscape Change at Kagaðarhóll in Northwest Iceland	Kagaðarhóll	Iceland	Iceland	Atlantic	peatland	unknown	TRUE	0		unknown	8	pollen	charcoal;tephra;sedimentology	none
6156559	included	-1.326388836	120.3088913	1660	Assessing resilience/sensitivity of tropical mountain rainforests towards climate variability of the last 1500 years: The long-term perspective at Lake Kalimpaa (Sulawesi, Indonesia)	Lore Lindu	Sulawesi	Indonesia	Indo-Pacific	lake	unknown	FALSE	unknown		unknown	40	pollen;spores	microcharcoal	none
6156790	included	-0.643888891	-90.32694244	809	Lake or bog? Reconstructing baseline ecological conditions for the protected Galápagos Sphagnum peatbogs	Psidium Bog	Santa Cruz	Galapagos	Pacific	peatland	1080	TRUE	0	1080	no	0	macrofossils	charcoal	none
6156754	included	-51.63277817	-58.99654007	233	Falkland Island peatland development processes and the pervasive presence of fire	SSX	East Falklands	Falklands	Atlantic	peatland	1090	FALSE	unknown		no	43	pollen	Chracoal;Organic mater	none
6172122	included	-21.35170746	165.5857544	120	Late Holocene paleoenvironment in northern New Caledonia, southwestern Pacific, from a multiproxy analysis of lake sediments	Koum2, Grand Lac	Grande Terre	New Caledonia	Pacific	lake	1145	TRUE	0	1145	no	14	pollen summary	mineralogy;sedimentology;diatoms;charcoal	none
6156966	included	-20.40755463	57.47419357	650	Multi-proxy reconstruction of environmental dynamics and colonization impacts in the Mauritian uplands	Le Petrin	Mauritius	Macarenes	Indian	swamp	1155	TRUE	0	1155	no	42	pollen;spores	charcoal	none
6157760	included	36.81666565	11.98333359	2	Lateglacial and Holocene vegetation and climatic change on Auckland Island, Subantarctic New Zealand	Lago di Vener	Pantelleria	Aegean Islands	Mediterranean	lake	1185	FALSE	unknown		no	128	pollen;macrofossils	charcoal;sedimentology;XRF core scanning	none
6171856	included	-0.643888891	-90.32694244	830	Fossil Pollen as a Guide to Conservation in the Galapagos	Psidium Bog	Santa Cruz	Galapagos	Pacific	peatland	1200	TRUE	0	1200	no	48	pollen summary	none	none
6159171	included	-39.75170135	175.8674927	350	Using palaeolimnology to guide rehabilitation of a culturally significant lake in New Zealand	Oporoa	North Island	New Zealand	Pacific	lake	1214	TRUE	0	1214	no	37	pollen	diatoms;pigments	none
6156722	included	-27.12277794	-109.2886124	82	Fossil plant remains at Rano Raraku, Easter Island's statue quarry: evidence for past elevated lake level and ancient Polynesian agriculture	Ranu Raraku	Rapa Nui	Rapa Nui	Pacific	soil	1240	TRUE	0	1240	no	13	pollen;phytoliths	charcoal	none
6169181	included	62.28782654	-7.147367001	5	Impacts and Timing of the First Human Settlement on Vegetation of the Faroe Islands	Tjørnuvík	Streymoy	Faroe Islands	Atlantic	marsh	1270	FALSE	unknown		no	27	pollen	charcoal;tephra	none
6169183	included	62.28782654	-7.147367001	5	Human Impact and Landscape Degradation on the Faroe Islands	Tjørnuvík	Streymoy	Faroe Islands	Atlantic	peatland	1270	FALSE	unknown		no	19	pollen	Microtephra	none
6159486	included	-27.1847229	-109.433609	0	An enigma revisited: identification of palm phytoliths extracted from the 1983 Rapa Nui, Rano Kao2 core	Kao2	Rapa Nui	Rapa Nui	Pacific	archeological site	1279	TRUE	0	1279	no	8	phytoliths	none	none
6157124	included	39.40555573	-31.21805573	351	The vanishing and the establishment of a new ecosystem on an oceanic island - Anthropogenic impacts with no return ticket	Funda Lake	Flores	Azores	Atlantic	lake	1300	TRUE	0	1300	no	30	pollen	charcoal	none
6157397	included	-22.1251297	43.40634155	30	Influence of Late Holocene Climate Change and Human Land Use on Terrestrial and Aquatic Ecosystems in Southwest Madagascar	Namonte Basin	Madagascar	Madagascar	Indian	lake	1300	TRUE	0	1300	no	35	pollen	charcoal;diatoms	none
6169183	included	62.10903931	-7.5770998	100	Human Impact and Landscape Degradation on the Faroe Islands	Korkadalur	Mykines	Faroe Islands	Atlantic	peatland	1355	FALSE	unknown		no	0	pollen	none	none
6156687	included	-27.18283081	-109.4361954	108	THE LATE QUATERNARY VEGETATIONAL AND CLIMATIC HISTORY OF EASTER ISLAND	Rano Kao	Rapa Nui	Rapa Nui	Pacific	peatland	1360	TRUE	0	1360	no	14	pollen	none	none
6170135	included	-34.98270798	173.7933502	0	Looking Back for the Future: Local Knowledgeand Palaeoecology Inform Biocultural Restoration of Coastal Ecosystems in New Zealand	Ririwhā	Ririwhā	New Zealand	Pacific	soil	unknown	TRUE	0		unknown	49	pollen	none	none
6167806	included	-36.78749847	175.7708282	5	Biological and geochemical record of anthropogenic impacts in recent sediments from Lake Pupuke, Auckland City, New Zealand	Pupuke (Core P2)	North Island	New Zealand	Pacific	lake	1419	FALSE	unknown		no	17	pollen;spores	diatoms;grain size distribution;TOC;TN;elements (Pb;K;Na;P;Cu;Al;Zn)	none
6156653	included	66.08333588	-20.26666641	38	Early-Holocene vegetation of northern Iceland: pollen and plant macrofossil evidence from the Skagi peninsula	Geitakarlsvötn	Iceland	Iceland	Atlantic	lake	10060	FALSE	9000	1060	no	18	pollen	none	none
6158964	included	-35.61666489	173.5500031	368	Vegetation changes since early Maori fires in Waipoua Forest, Northern New Zealand	Tarahoka swamp core 2	North Island	New Zealand	Pacific	swamp	1460	TRUE	0	1460	no	10	pollen	charcoal	none
6171197	included	66.08333588	-20.16666603	42	Dynamic sea-level change during the last deglaciation of northern Iceland	Hraunsvntn	Iceland	Iceland	Atlantic	lake	10900	FALSE	9000	1900	no	46	pollen summary	none	none
6156585	included	-37.087075	-12.325213	930	Late Holocene multi-proxy records of environmental change on the South Atlantic island Tristan da Cunha	Potato Patches	Tristan da Cunha	Tristan da Cuhna	Atlantic	peatland	1475	TRUE	0	1475	yes	5	pollen	TC;nitrogen;sulphur;magnetic susceptibility	none
6157317	included	-45.0359993	168.576004	563	Lake sediment fecal and biomass burning biomarkers provide direct evidence for prehistoric human-lit fires in New Zealand	Kirkpatrick	South Island	New Zealand	Pacific	lake	1500	TRUE	0	1500	yes	72	pollen	charcoal;fecal and plant sterols;monosaccharide anhydrides;polycyclic aromatic hydrocarbons	none
6158517	included	65.58333588	-17.17499924	310	Environmental impacts of the Norse settlement: palaeoenvironmental data from Myvatnssveit, northern Iceland	Helluva›stjörn	Iceland	Iceland	Atlantic	lake	unknown	FALSE	unknown		unknown	80	pollen	chironomids	none
6157236	included	27.9347229	-15.4841671	621	Ancient DNA in archaeological wheat grains: preservation conditions and the study of pre-Hispanic agriculture on the island of Gran Canaria (Spain)	Guayadeque	Gran Canaria	Canary Islands	Atlantic	archeological site	unknown	FALSE	unknown		unknown	2	dna	DNA of Weat seeds	none
6169183	included	62.27479172	-7.055401802	5	Human Impact and Landscape Degradation on the Faroe Islands	Eiði	Eysturoy	Faroe Islands	Atlantic	drained lake	1505	FALSE	unknown		no	12	pollen	diatoms;microtephra	none
6156581	included	-36.80870438	175.7513275	2	Late Quaternary paleolimnology of Onepoto maar, Auckland, New Zealand: Implications for the drivers of regional paleoclimate	Onepoto maar	North Island	New Zealand	Pacific	crater	24600	FALSE	8530	16070	no	96	pollen	geochemistry;diatoms;grain size	none
6158855	included	-45.44285583	169.2049713	1380	Growth and vegetation history of alpine mires on the Old Man Range, Central Otago, New Zealand	Ruined Hut Bog RH2	South Island	New Zealand	Pacific	peatland	1523	TRUE	0	1523	no	11	pollen	charcoal	none
6168191	included	-0.895205975	-89.47992706	660	Human-induced ecological cascades: Extinction, restoration, and rewilding in the Galapagos highlands	El Junco	San Cristobal	Galapagos	Pacific	lake	unknown	FALSE	unknown		unknown	45	pollen	sporormiella	none
6169417	included	4.610555649	168.6666718	2.3	Analysis of plant microfossils in archaeological deposits from two remote archipelagos: The Marshall Islands, Eastern Micronesia, and the Pitcairn Group, Southeast Polynesia	MLEb-38	Enilok	Marshall Islands	Pacific	soil	1560	FALSE	unknown		no	8	pollen;spores	none	none
